,AL-GR,AL-ME,AT-CH,AT-CZ,AT-DE_LU,AT-HU,AT-IT,AT-SI,BA-HR,BA-ME,BA-RS,BE-DE_LU,BE-FR,BE-GB,BE-LU,BE-NL,BG-GR,BG-MK,BG-RO,BG-RS,BG-TR,CH-AT,CH-DE_LU,CH-FR,CH-IT,CZ-AT,CZ-DE_LU,CZ-PL,CZ-SK,DE_LU-AT,DE_LU-BE,DE_LU-CH,DE_LU-CZ,DE_LU-FR,DE_LU-NL,DE_LU-PL,DK-NL,DK-NO,DK-SE,EE-FI,EE-LV,ES-FR,ES-PT,FI-EE,FI-NO,FI-SE,FR-BE,FR-CH,FR-DE_LU,FR-ES,FR-GB,FR-IT,GB-BE,GB-FR,GB-IE,GB-NL,GB-NO,GR-AL,GR-BG,GR-IT,GR-MK,GR-TR,HR-BA,HR-HU,HR-RS,HR-SI,HU-AT,HU-HR,HU-RO,HU-RS,HU-SI,HU-SK,IE-GB,IT-AT,IT-CH,IT-FR,IT-GR,IT-ME,IT-MT,IT-SI,LT-LV,LT-PL,LT-SE,LU-BE,LV-EE,LV-LT,ME-AL,ME-BA,ME-IT,ME-RS,MK-BG,MK-GR,MK-RS,MT-IT,NL-BE,NL-DE_LU,NL-DK,NL-GB,NL-NO,NO-DK,NO-FI,NO-GB,NO-NL,NO-SE,PL-CZ,PL-DE_LU,PL-LT,PL-SE,PL-SK,PT-ES,RO-BG,RO-HU,RO-RS,RS-BA,RS-BG,RS-HR,RS-HU,RS-ME,RS-MK,RS-RO,SE-DK,SE-FI,SE-LT,SE-NO,SE-PL,SI-AT,SI-HR,SI-HU,SI-IT,SK-CZ,SK-HU,SK-PL,TR-BG,TR-GR
2022-05-31 22:00:00+00:00,8.0,26.0,182.0,0.0,1181.0,487.0,247.0,808.0,190.0,356.0,0.0,613.0,1763.0,0.0,64.0,0.0,449.0,407.0,89.0,435.0,330.0,0.0,47.0,0.0,2904.0,1383.0,945.0,0.0,1279.0,983.0,0.0,1079.0,0.0,201.0,0.0,485.0,5.0,0.0,0.0,0.0,795.0,0.0,1044.0,1011.0,0.0,0.0,0.0,381.0,1.0,1340.0,0.0,1660.0,990.0,2095.0,0.0,831.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,586.0,43.0,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,50.0,0.0,0.0,0.0,381.0,8.0,0.0,390.0,172.0,0.0,453.0,53.0,0.0,669.0,1658.0,0.0,0.0,0.0,952.0,65.0,676.0,0.0,471.0,1359.0,0.0,0.0,0.0,1128.0,0.0,17.0,0.0,343.0,56.0,0.0,44.0,0.0,0.0,0.0,0.0,1091.0,1495.0,413.0,459.0,347.0,0.0,0.0,,770.0,0.0,1605.0,0.0,0.0,460.0
2022-05-31 22:15:00+00:00,,,,,1365.0,343.0,,856.0,,,,622.0,,0.0,89.0,,,,,,,,13.0,,,,,,,1038.0,0.0,1322.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,830.0,,,,,,,,,,,0.0,,25.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1481.0,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,
2022-05-31 22:30:00+00:00,,,,,1296.0,342.0,,791.0,,,,632.0,,0.0,94.0,,,,,,,,8.0,,,,,,,841.0,0.0,1190.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,830.0,,,,,,,,,,,0.0,,25.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1482.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,
2022-05-31 22:45:00+00:00,,,,,1326.0,367.0,,790.0,,,,651.0,,0.0,100.0,,,,,,,,0.0,,,,,,,860.0,0.0,1398.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,905.0,,,,,,,,,,,0.0,,22.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1466.0,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,
2022-05-31 23:00:00+00:00,6.0,57.0,133.0,0.0,1409.0,281.0,238.0,801.0,427.0,208.0,0.0,753.0,1881.0,0.0,94.0,0.0,448.0,395.0,194.0,436.0,330.0,0.0,0.0,0.0,2737.0,1259.0,955.0,0.0,988.0,1040.0,0.0,1772.0,0.0,89.0,0.0,393.0,63.0,0.0,0.0,0.0,779.0,0.0,1171.0,993.0,0.0,0.0,0.0,807.0,77.0,1097.0,10.0,2285.0,1001.0,1880.0,0.0,1053.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,588.0,2.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,82.0,0.0,0.0,0.0,380.0,0.0,4.0,356.0,194.0,0.0,475.0,55.0,0.0,445.0,1268.0,0.0,0.0,0.0,952.0,65.0,306.0,0.0,508.0,1327.0,48.0,0.0,0.0,1056.0,0.0,0.0,25.0,410.0,113.0,0.0,143.0,20.0,0.0,0.0,0.0,1126.0,1220.0,413.0,690.0,347.0,0.0,0.0,,1106.0,0.0,1407.0,0.0,0.0,493.0
2022-05-31 23:15:00+00:00,,,,,1314.0,262.0,,744.0,,,,733.0,,0.0,101.0,,,,,,,,0.0,,,,,,,995.0,0.0,1826.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,1053.0,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1117.0,,0.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,0.0,,,,,,,,
2022-05-31 23:30:00+00:00,,,,,1357.0,257.0,,718.0,,,,661.0,,0.0,110.0,,,,,,,,0.0,,,,,,,946.0,0.0,1840.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,1053.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1049.0,,0.0,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,2.0,,,,,,,,
2022-05-31 23:45:00+00:00,,,,,1357.0,271.0,,701.0,,,,639.0,,0.0,126.0,,,,,,,,0.0,,,,,,,899.0,0.0,1790.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,1053.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1060.0,,0.0,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,3.0,,,,,,,,
2022-06-01 00:00:00+00:00,1.0,69.0,38.0,0.0,1178.0,179.0,232.0,620.0,429.0,230.0,0.0,793.0,975.0,0.0,170.0,440.0,450.0,396.0,206.0,452.0,345.0,0.0,0.0,0.0,2189.0,1341.0,1074.0,0.0,933.0,680.0,0.0,1662.0,0.0,0.0,0.0,377.0,44.0,0.0,0.0,0.0,788.0,0.0,1189.0,999.0,0.0,0.0,0.0,1207.0,743.0,992.0,0.0,2316.0,1001.0,2724.0,0.0,1054.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,630.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,92.0,0.0,0.0,0.0,402.0,1.0,3.0,396.0,243.0,0.0,467.0,23.0,0.0,0.0,1413.0,0.0,0.0,0.0,952.0,65.0,23.0,0.0,535.0,1375.0,136.0,0.0,0.0,1105.0,0.0,0.0,36.0,463.0,113.0,0.0,122.0,10.0,0.0,0.0,0.0,1098.0,1011.0,413.0,767.0,347.0,16.0,0.0,,867.0,0.0,1422.0,0.0,0.0,521.0
2022-06-01 00:15:00+00:00,,,,,1018.0,204.0,,641.0,,,,882.0,,0.0,202.0,,,,,,,,0.0,,,,,,,627.0,0.0,1564.0,,,0.0,,,,,,,,,,,,,,,,,,1001.0,,,1054.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1698.0,,0.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,8.0,,,,,,,,
